Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magneto X,Magneto Y,Magneto Z
1742920100.4225206,-0.991982,-0.027389,-0.273463,-0.10614,0.027084,-0.005124,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.4416733,-1.013637,0.016958,-0.255712,-0.104432,0.02928,-0.016592,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.4605305,-1.013515,0.046176999999999996,-0.249551,-0.096136,0.028304,-0.020007999999999998,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.4798415,-0.985333,0.051422999999999996,-0.241926,-0.084912,0.025131999999999998,-0.01586,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.499158,-0.923662,0.068198,-0.232532,-0.0732,0.020984,-0.012931999999999999,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.5184236,-0.880108,0.07649399999999999,-0.215452,-0.059536,0.015372,-0.016104,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.537715,-0.864919,0.068625,-0.203374,-0.047335999999999996,0.0075639999999999995,-0.021228,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.557016,-0.87596,0.068625,-0.202703,-0.038064,0.0,-0.025863999999999998,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.576295,-0.861991,0.070272,-0.20374,-0.03172,-0.007808,-0.028304,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.5955935,-0.827282,0.064416,-0.211365,-0.027816,-0.014152,-0.029036,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.6178474,-0.7896449999999999,0.059597,-0.222162,-0.02562,-0.022692,-0.030012,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.6341805,-0.765977,0.055265999999999996,-0.234972,-0.023667999999999998,-0.030744,-0.03294,0.2569424144986846,-0.2522654194679918,-0.00029231218941829873
1742920100.6534686,-0.787876,0.049227,-0.252601,-0.024156,-0.040504,-0.035623999999999996,0.26395790704472377,-0.24758842443729903,-0.009792458345513008
1742920100.6727586,-0.815082,0.044042,-0.276513,-0.027084,-0.046604,-0.032695999999999996,0.26395790704472377,-0.24758842443729903,-0.009792458345513008
