Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
1741711717.6982636,-0.508496,0.859124,0.169702,-0.21,-0.105,0.56
1741711717.7009535,-0.510082,0.856379,0.1702509999999999,-0.13125,-0.1925,0.7175
1741711717.703664,-0.505751,0.856135,0.170983,-0.28,-0.07,0.5075000000000001
1741711717.7063217,-0.510387,0.856623,0.169092,-0.27125,-0.06125,0.5775
1741711717.7087266,-0.508984,0.858026,0.175497,-0.2275,-0.2625,0.6562500000000001
1741711717.7112672,-0.507276,0.855281,0.171593,-0.2275,-0.16625,0.48125
1741711717.7147188,-0.508801,0.859246,0.172752,-0.385,-0.14875,0.6825000000000001
1741711717.71795,-0.508313,0.8593069999999999,0.173545,-0.21,-0.13125,0.6562500000000001
1741711717.7206893,-0.506056,0.858331,0.174033,-0.14,-0.0875,0.48125
1741711717.7233942,-0.5133759999999999,0.857294,0.169458,-0.2975,-0.11375,0.69125
1741711717.726039,-0.512644,0.856318,0.167628,-0.2975,-0.18375,0.6475000000000001
1741711717.728599,-0.505873,0.856684,0.168909,-0.4025,-0.11375,0.6212500000000001
1741711717.7311296,-0.508801,0.8556469999999999,0.169092,-0.105,-0.175,0.6125
1741711717.7339835,-0.512034,0.859429,0.168909,-0.18375,-0.07,0.6562500000000001
1741711717.73697,-0.510997,0.873093,0.174399,-0.2975,-0.18375,0.6212500000000001
1741711717.7400498,-0.508984,0.858636,0.170068,-0.21,-0.1225,0.5950000000000001
1741711717.742768,-0.511851,0.854549,0.169641,-0.27125,-0.13125,0.6737500000000001
1741711717.7454045,-0.509777,0.8568669999999999,0.172569,-0.315,-0.07,0.5162500000000001
1741711717.7479696,-0.508191,0.858026,0.171898,-0.28,-0.035,0.69125
1741711717.7505112,-0.507825,0.8541219999999999,0.1714709999999999,-0.28,-0.2275,0.6562500000000001
1741711717.753036,-0.507764,0.856379,0.173667,-0.315,-0.21875,0.58625
1741711717.756746,-0.509899,0.8559519999999999,0.172264,-0.14875,-0.175,0.6212500000000001
1741711717.7599242,-0.508679,0.858148,0.172203,-0.1925,-0.07,0.5425000000000001
1741711717.7626247,-0.505995,0.859429,0.172203,-0.32375,-0.11375,0.55125
1741711717.7653077,-0.510509,0.855525,0.169092,-0.27125,-0.2275,0.6300000000000001
